"","language","longitude","latitude","match_score_span","match_score_eng","match_score_jap","mean_match_score_ctrl","sd_match_score_ctrl","zscore_span","zscore_eng","zscore_jap"
"29","Tagabawa",125.175,6.9712,0.448979591836735,0.72,0.56,0.650666666666667,0.0511952378737748,-6.06232606003769,2.08402682150243,-2.72526584350318
"30","Tambunan Dusun",116.373,5.68284,0.428571428571429,0.7,0.58,0.662666666666667,0.0696385224536234,-7.03645319677607,1.12216828850131,-2.4848012102529
"31","Tatana",115.553,5.49808,0.346938775510204,0.62,0.62,0.641333333333333,0.0509715139866891,-8.84893492222716,-0.641239022000748,-0.641239022000748
"32","Tausug",118.88,5.12236,0.571428571428571,0.6,0.56,0.608,0.0419523539268061,-1.09926689485843,-0.240464633250281,-1.44278779950168
"33","Tboli",124.538,6.20377,0.408163265306122,0.64,0.56,0.637333333333333,0.103610994084789,-6.88841204501314,0.0801548777500947,-2.32449145475271
"34","Timugon Murut",115.826,5.1796,0.489795918367347,0.6,0.56,0.618666666666667,0.0611633254569467,-3.87360715331064,-0.561084144250656,-1.76340731050206
"35","Tuwali Ifugao",121.113,16.6646,0.551020408163265,0.66,0.5,0.588,0.0376449579245728,-1.11153549859569,2.16418169925253,-2.64511096575309
"36","Western Subanon",122.341,7.79964,0.510204081632653,0.66,0.58,0.684,0.043556203428936,-5.22397147132498,-0.721393899750843,-3.12604023225365
"37","West Coast Bajau",116.124,6.00631,0.387755102040816,0.66,0.62,0.676,0.0651152823843988,-8.66408795925246,-0.480929266500562,-1.68325243275197
"38","Yakan",122.021729,6.531023,0.387755102040816,0.62,0.58,0.665333333333333,0.0592653436029941,-8.34346844825208,-1.36263292175159,-2.56495608800299
"39","Yogad",121.718,16.7015,0.510204081632653,0.58,0.58,0.598666666666667,0.0722956891292051,-2.65901538332198,-0.561084144250656,-0.561084144250656
