phoneme,n_languages,freq,IDF
ɔ̤ˑ,3,0.0013831258644536654,6.583409222158765
ɔ̰,4,0.0018441678192715537,6.295727149706984
ɔ̰ː,1,4.610419548178884e-4,7.682021510826875
ɔ̰ˑ,1,4.610419548178884e-4,7.682021510826875
ɕ,77,0.03550023052097741,3.3382160889731907
ɕʰ,4,0.0018441678192715537,6.295727149706984
ɕʼ,2,9.220839096357768e-4,6.988874330266929
ɕː,3,0.0013831258644536654,6.583409222158765
ɖ,162,0.07468879668049792,2.5944251755944903
ɖr,3,0.0013831258644536654,6.583409222158765
ɖr̠͓,1,4.610419548178884e-4,7.682021510826875
ɖɦ,1,4.610419548178884e-4,7.682021510826875
ɖɽ,2,9.220839096357768e-4,6.988874330266929
ɖʐ,31,0.01429230059935454,4.2480343063417285
ɖʐʷ,1,4.610419548178884e-4,7.682021510826875
ɖʱ,5,0.002305209774089442,6.072583598392774
ɖː,3,0.0013831258644536654,6.583409222158765
ɖ̤,30,0.013831258644536652,4.280824129164719
ɖ̥ʐ̥,1,4.610419548178884e-4,7.682021510826875
ɖ̰,1,4.610419548178884e-4,7.682021510826875
ɖ̻ʐ̻,1,4.610419548178884e-4,7.682021510826875
ɖⁿ,1,4.610419548178884e-4,7.682021510826875
ɗ,195,0.08990318118948824,2.4090219522631275
ɗʒ,2,9.220839096357768e-4,6.988874330266929
ɗʱ,1,4.610419548178884e-4,7.682021510826875
ɗʲ,2,9.220839096357768e-4,6.988874330266929
ɗʷ,2,9.220839096357768e-4,6.988874330266929
ɗː,9,0.004149377593360996,5.484796933490655
ɗ̠,1,4.610419548178884e-4,7.682021510826875
ɗ̥,6,0.0027662517289073307,5.890262041598819
ɗ̪,5,0.002305209774089442,6.072583598392774
ɗ̪|ɗ,13,0.00599354541263255,5.117072153365338
ɘ,39,0.017980636237897647,4.018459864697228
ɘi,1,4.610419548178884e-4,7.682021510826875
ɘː,5,0.002305209774089442,6.072583598392774
ɘ̃,3,0.0013831258644536654,6.583409222158765
ɘ̃ː,1,4.610419548178884e-4,7.682021510826875
ɘ̆,1,4.610419548178884e-4,7.682021510826875
ɘ̟,1,4.610419548178884e-4,7.682021510826875
ɘ̠,1,4.610419548178884e-4,7.682021510826875
ə,469,0.21622867680958968,1.531418742380595
əi,15,0.006915629322268326,4.973971309724664
əi̯,1,4.610419548178884e-4,7.682021510826875
əo,1,4.610419548178884e-4,7.682021510826875
əu,14,0.006454587367450438,5.042964181211616
əu̯,1,4.610419548178884e-4,7.682021510826875
əy,1,4.610419548178884e-4,7.682021510826875
əɪ,1,4.610419548178884e-4,7.682021510826875
əɪa,1,4.610419548178884e-4,7.682021510826875
əɯ,1,4.610419548178884e-4,7.682021510826875
əɯ̃,1,4.610419548178884e-4,7.682021510826875
əʉ,1,4.610419548178884e-4,7.682021510826875
əʊ,3,0.0013831258644536654,6.583409222158765
əʊɪ,1,4.610419548178884e-4,7.682021510826875
əː,81,0.03734439834024896,3.2875723561544357
əˑ,1,4.610419548178884e-4,7.682021510826875
ə˞,7,0.003227293683725219,5.736111361771561
ə˞ː,1,4.610419548178884e-4,7.682021510826875
əˤ,1,4.610419548178884e-4,7.682021510826875
ə̃,55,0.025357307514983864,3.6746883255944036
ə̃ĩ,1,4.610419548178884e-4,7.682021510826875
ə̃ũ,1,4.610419548178884e-4,7.682021510826875
ə̃ː,13,0.00599354541263255,5.117072153365338
ə̆,8,0.0036883356385431073,5.602579969147039
ə̞̆,1,4.610419548178884e-4,7.682021510826875
ə̟̆,1,4.610419548178884e-4,7.682021510826875
ə̠̃,1,4.610419548178884e-4,7.682021510826875
ə̤,3,0.0013831258644536654,6.583409222158765
ə̰,1,4.610419548178884e-4,7.682021510826875
ə̰ɯ̰,1,4.610419548178884e-4,7.682021510826875
ə̰̃,1,4.610419548178884e-4,7.682021510826875
ə̹,1,4.610419548178884e-4,7.682021510826875
ɚ,1,4.610419548178884e-4,7.682021510826875
ɚː,1,4.610419548178884e-4,7.682021510826875
ɛ,811,0.3739050253573075,0.9837534567114615
ɛa,1,4.610419548178884e-4,7.682021510826875
ɛa̟,1,4.610419548178884e-4,7.682021510826875
ɛi,9,0.004149377593360996,5.484796933490655
ɛiː,1,4.610419548178884e-4,7.682021510826875
ɛi̯,3,0.0013831258644536654,6.583409222158765
ɛo,2,9.220839096357768e-4,6.988874330266929
ɛo̞,1,4.610419548178884e-4,7.682021510826875
ɛu,2,9.220839096357768e-4,6.988874330266929
ɛu̯,3,0.0013831258644536654,6.583409222158765
ɛɐ,1,4.610419548178884e-4,7.682021510826875
ɛə,3,0.0013831258644536654,6.583409222158765
ɛɪ,2,9.220839096357768e-4,6.988874330266929
ɛɯ,1,4.610419548178884e-4,7.682021510826875
ɛʉ,1,4.610419548178884e-4,7.682021510826875
ɛʊ,1,4.610419548178884e-4,7.682021510826875
ɛː,225,0.1037344398340249,2.265921108622454
ɛˑ,3,0.0013831258644536654,6.583409222158765
ɛˠ,1,4.610419548178884e-4,7.682021510826875
ɛ̃,185,0.08529276164130936,2.4616656857485495
ɛ̃ũ,1,4.610419548178884e-4,7.682021510826875
ɛ̃ɔ̃,1,4.610419548178884e-4,7.682021510826875
ɛ̃ə,1,4.610419548178884e-4,7.682021510826875
ɛ̃ː,30,0.013831258644536652,4.280824129164719
ɛ̃ːi̯,1,4.610419548178884e-4,7.682021510826875
ɛ̝,2,9.220839096357768e-4,6.988874330266929
ɛ̝ː,2,9.220839096357768e-4,6.988874330266929
ɛ̞,2,9.220839096357768e-4,6.988874330266929
ɛ̠,1,4.610419548178884e-4,7.682021510826875
ɛ̤,15,0.006915629322268326,4.973971309724664
ɛ̤i̤,1,4.610419548178884e-4,7.682021510826875
ɛ̤ː,7,0.003227293683725219,5.736111361771561
ɛ̤ˑ,3,0.0013831258644536654,6.583409222158765
ɛ̰,5,0.002305209774089442,6.072583598392774
ɛ̰ː,1,4.610419548178884e-4,7.682021510826875
ɛ̰ˑ,1,4.610419548178884e-4,7.682021510826875
ɜ,26,0.0119870908252651,4.423924972805392
ɜi,2,9.220839096357768e-4,6.988874330266929
ɜi̯,1,4.610419548178884e-4,7.682021510826875
ɜː,4,0.0018441678192715537,6.295727149706984
ɜ̃,4,0.0018441678192715537,6.295727149706984
ɜ̹,1,4.610419548178884e-4,7.682021510826875
ɜ̹ː,1,4.610419548178884e-4,7.682021510826875
ɞ,4,0.0018441678192715537,6.295727149706984
ɞe̯,1,4.610419548178884e-4,7.682021510826875
ɞʊ,1,4.610419548178884e-4,7.682021510826875
ɞʏ̯,1,4.610419548178884e-4,7.682021510826875
ɞː,1,4.610419548178884e-4,7.682021510826875
ɞ̜,1,4.610419548178884e-4,7.682021510826875
ɞ̜ː,1,4.610419548178884e-4,7.682021510826875
ɞ̜̃ː,1,4.610419548178884e-4,7.682021510826875
ɞ̜̰,1,4.610419548178884e-4,7.682021510826875
ɟ,262,0.12079299216228677,2.1136770070657773
ɟɦ,1,4.610419548178884e-4,7.682021510826875
ɟʝ,73,0.033656062701705854,3.3915620696784834
ɟʝʷ,3,0.0013831258644536654,6.583409222158765
ɟʝ̞,1,4.610419548178884e-4,7.682021510826875
ɟʱ,1,4.610419548178884e-4,7.682021510826875
ɟʲ,2,9.220839096357768e-4,6.988874330266929
ɟʷ,4,0.0018441678192715537,6.295727149706984
